Date,Price,Open,High,Low,Volume,Chg%,USD,GBP,EURO,Date,Price_Nifty,Open_Nifty,High_Nifty,Low_Nifty,Vol._Nifty,Change %_Nifty,Price_Sensex,Open_Sensex,High_Sensex,Low_Sensex,Vol._Sensex,Change %_Sensex
2019-08-20,37640,37400,37680,37350,19810,0.42,17.02,14.1,15.36,2019-08-16,"11,047.80","11,043.65","11,068.65","10,924.30",470.91M,0.17%,"37,350.33","37,383.00","37,444.45","36,974.41",26.12M,0.10%
2019-08-19,37484,37340,37525,37270,22990,-0.01,16.925,13.96,15.24,2019-08-14,"11,029.40","11,003.25","11,078.15","10,935.60",511.54M,0.95%,"37,311.53","37,233.50","37,473.61","37,000.77",22.49M,0.96%
2019-08-16,37487,37880,37941,37281,24290,-0.53,17.16,14.11,15.49,2019-08-13,"10,925.85","11,139.40","11,145.90","10,901.60",624.64M,-1.65%,"36,958.16","37,755.16","37,755.16","36,888.49",28.59M,-1.66%
2019-08-14,37688,37274,37844,37188,33320,1.13,17.115,14.15,15.31,2019-08-09,"11,109.65","11,087.90","11,181.45","11,062.80",538.06M,0.70%,"37,581.91","37,521.30","37,807.55","37,406.26",28.19M,0.68%
2019-08-13,37268,37860,38147,36860,41660,-1.44,17.445,14.44,15.55,2019-08-08,"11,032.45","10,899.20","11,058.05","10,842.95",482.47M,1.63%,"37,327.36","36,808.01","37,405.48","36,655.41",24.79M,1.74%
2019-08-12,37812,37620,37909,37620,9180,0.68,16.955,14.02,15.14,2019-08-07,"10,855.50","10,958.10","10,975.65","10,835.90",548.47M,-0.85%,"36,690.50","37,025.27","37,104.79","36,610.57",26.11M,-0.77%
2019-08-09,37558,37419,37684,37355,22870,0.66,17.0,14.07,15.18,2019-08-06,"10,948.25","10,815.40","11,018.55","10,813.80",517.89M,0.79%,"36,976.85","36,568.03","37,241.77","36,536.59",26.22M,0.75%
2019-08-08,37311,37899,37899,37175,33790,-1.55,17.02,14.01,15.2,2019-08-05,"10,862.60","10,895.80","10,895.80","10,782.60",506.56M,-1.23%,"36,699.84","36,842.17","36,844.05","36,416.79",26.73M,-1.13%
2019-08-07,37899,37250,38125,37250,44110,1.93,16.82,13.86,15.04,2019-08-02,"10,997.35","10,930.30","11,080.15","10,848.95",547.42M,0.16%,"37,118.22","36,920.11","37,375.16","36,607.41",28.97M,0.27%
2019-08-06,37182,37003,37207,36621,27320,1.28,16.385,13.45,14.63,2019-08-01,"10,980.00","11,060.20","11,076.75","10,881.00",499.92M,-1.24%,"37,018.32","37,387.18","37,387.18","36,694.18",21.74M,-1.23%
